AX AY AZ AT GX GY GZ GT TS
-0.1 -0.13 -2.04 -2.26 12.76 9.28 9.03 31.07 1655503798.2605803
-0.1 -0.13 -2.04 -2.27 12.88 10.68 9.22 32.78 1655503798.26485
-0.1 -0.13 -2.04 -2.28 13.0 10.31 10.38 33.69 1655503798.2656257
-0.11 -0.13 -2.03 -2.27 12.88 11.96 9.16 34.0 1655503798.268666
-0.11 -0.13 -2.04 -2.28 12.57 10.01 9.83 32.41 1655503798.2719758
-0.1 -0.13 -2.03 -2.26 12.63 8.85 10.01 31.49 1655503798.2752736
-0.11 -0.13 -2.03 -2.27 14.59 10.01 8.79 33.39 1655503798.2785947
-0.1 -0.13 -2.03 -2.27 12.88 9.77 9.58 32.23 1655503798.2818842
-0.11 -0.13 -2.04 -2.27 13.31 9.7 9.95 32.96 1655503798.2851782
-0.11 -0.13 -2.04 -2.27 10.99 9.64 10.13 30.76 1655503798.2884881
-0.1 -0.13 -2.04 -2.27 13.61 10.01 8.97 32.59 1655503798.2917912
-0.1 -0.12 -2.04 -2.26 13.18 10.86 10.38 34.42 1655503798.2952106
-0.1 -0.13 -2.04 -2.27 14.71 10.93 9.09 34.73 1655503798.2984717
-0.1 -0.13 -2.04 -2.27 13.55 11.41 8.67 33.63 1655503798.301754
-0.1 -0.13 -2.04 -2.27 14.77 9.64 8.67 33.08 1655503798.3132675
-0.1 -0.12 -2.04 -2.26 12.82 10.56 9.89 33.26 1655503798.3142507
-0.1 -0.13 -2.05 -2.27 15.2 9.7 10.38 35.28 1655503798.315239
-0.1 -0.13 -2.04 -2.27 13.37 9.22 9.64 32.23 1655503798.3217585
-0.1 -0.13 -2.04 -2.27 13.79 10.8 9.7 34.3 1655503798.3227513
-0.11 -0.13 -2.04 -2.27 13.92 11.23 9.89 35.03 1655503798.323843
-0.1 -0.13 -2.04 -2.27 13.12 11.23 8.67 33.02 1655503798.3251064
-0.1 -0.13 -2.04 -2.27 13.06 9.46 9.34 31.86 1655503798.32837
-0.1 -0.13 -2.04 -2.27 13.06 9.09 8.24 30.4 1655503798.3317115
-0.1 -0.13 -2.04 -2.27 13.06 9.34 9.4 31.8 1655503798.3350508
-0.11 -0.13 -2.04 -2.28 12.88 8.24 10.25 31.37 1655503798.3383014
-0.1 -0.13 -2.04 -2.28 10.62 9.52 9.46 29.6 1655503798.3416018
-0.11 -0.13 -2.04 -2.28 12.08 9.03 9.58 30.7 1655503798.3449452
-0.1 -0.13 -2.04 -2.27 11.17 8.91 8.79 28.87 1655503798.3482215
-0.1 -0.13 -2.04 -2.27 10.5 9.52 9.22 29.24 1655503798.352702
-0.11 -0.13 -2.04 -2.28 10.56 9.52 9.7 29.79 1655503798.3651102
-0.1 -0.13 -2.04 -2.27 11.66 9.22 9.22 30.09 1655503798.3660831
-0.1 -0.13 -2.03 -2.27 11.9 9.64 9.52 31.07 1655503798.3670843
-0.1 -0.13 -2.04 -2.27 10.99 9.64 9.16 29.79 1655503798.3680673
-0.11 -0.13 -2.04 -2.27 12.33 8.85 9.52 30.7 1655503798.3735342
-0.1 -0.13 -2.04 -2.27 10.8 8.0 8.18 26.98 1655503798.3743296
-0.1 -0.13 -2.04 -2.27 10.38 8.42 9.4 28.2 1655503798.3751252
-0.1 -0.13 -2.04 -2.27 11.23 9.77 9.52 30.52 1655503798.3779852
-0.11 -0.13 -2.04 -2.27 11.35 8.97 8.54 28.87 1655503798.3812263
-0.1 -0.13 -2.03 -2.26 12.7 9.58 7.93 30.21 1655503798.3845577
-0.1 -0.13 -2.04 -2.26 11.72 7.69 8.91 28.32 1655503798.3878975
-0.1 -0.13 -2.03 -2.27 11.84 9.46 9.64 30.94 1655503798.391191
-0.1 -0.13 -2.03 -2.26 12.02 8.91 8.85 29.79 1655503798.3945339
-0.1 -0.13 -2.03 -2.27 13.31 10.93 9.22 33.45 1655503798.3978655
-0.1 -0.12 -2.03 -2.26 11.96 9.58 10.56 32.1 1655503798.4015434
-0.1 -0.13 -2.04 -2.27 13.79 9.7 9.52 33.02 1655503798.4106503
-0.1 -0.13 -2.04 -2.27 12.45 9.4 10.25 32.1 1655503798.4114084
-0.1 -0.13 -2.03 -2.26 13.49 9.52 9.58 32.59 1655503798.4121144
-0.1 -0.12 -2.04 -2.26 12.82 10.86 8.85 32.53 1655503798.416609
-0.1 -0.13 -2.04 -2.27 14.04 9.46 9.46 32.96 1655503798.4182086
-0.1 -0.13 -2.04 -2.27 14.83 10.25 9.03 34.12 1655503798.421133
-0.1 -0.13 -2.03 -2.26 15.69 10.38 9.34 35.4 1655503798.4243314
-0.1 -0.13 -2.04 -2.27 14.04 11.29 9.22 34.55 1655503798.4277112
-0.09 -0.13 -2.04 -2.26 14.16 10.68 9.28 34.12 1655503798.4310124
-0.1 -0.13 -2.04 -2.27 12.63 10.62 10.01 33.26 1655503798.43437
-0.1 -0.13 -2.04 -2.27 13.85 9.95 9.52 33.33 1655503798.4376047
-0.1 -0.13 -2.04 -2.27 14.89 10.86 9.03 34.79 1655503798.441136
-0.1 -0.13 -2.04 -2.27 13.98 10.31 9.09 33.39 1655503798.4444118
-0.1 -0.13 -2.04 -2.27 12.88 10.62 8.61 32.1 1655503798.4477367
-0.1 -0.13 -2.04 -2.28 12.45 10.13 8.48 31.07 1655503798.4527411
-0.1 -0.13 -2.03 -2.27 13.31 9.83 9.22 32.35 1655503798.4658897
-0.1 -0.13 -2.04 -2.27 12.94 10.01 8.91 31.86 1655503798.4669955
-0.1 -0.13 -2.04 -2.28 12.94 10.74 8.79 32.47 1655503798.468087
-0.1 -0.13 -2.04 -2.27 13.61 10.62 9.03 33.26 1655503798.469248
-0.1 -0.12 -2.04 -2.27 12.51 11.05 8.3 31.86 1655503798.4748714
-0.1 -0.13 -2.03 -2.27 11.9 10.74 8.73 31.37 1655503798.4756892
-0.1 -0.13 -2.04 -2.27 11.29 8.91 9.22 29.42 1655503798.4765453
-0.1 -0.13 -2.04 -2.27 10.38 8.61 9.64 28.63 1655503798.4773078
-0.11 -0.13 -2.04 -2.27 10.99 9.77 9.77 30.52 1655503798.4805174
-0.1 -0.13 -2.04 -2.27 11.66 8.73 9.46 29.85 1655503798.4840305
-0.1 -0.13 -2.04 -2.28 10.8 9.09 9.77 29.66 1655503798.4871354
-0.1 -0.13 -2.04 -2.27 9.95 10.31 8.42 28.69 1655503798.49053
-0.1 -0.13 -2.05 -2.28 10.99 10.38 9.89 31.25 1655503798.493842
-0.1 -0.13 -2.04 -2.27 10.86 10.93 9.89 31.68 1655503798.4971251
-0.1 -0.13 -2.04 -2.26 12.51 11.05 8.67 32.23 1655503798.5005488
-0.1 -0.13 -2.04 -2.27 12.51 9.89 9.46 31.86 1655503798.5062816
-0.11 -0.12 -2.04 -2.27 13.37 10.74 8.73 32.84 1655503798.5070264
-0.1 -0.13 -2.04 -2.27 13.49 10.13 9.34 32.96 1655503798.5103483
-0.1 -0.13 -2.04 -2.27 12.33 9.22 8.85 30.4 1655503798.5136726
-0.1 -0.13 -2.04 -2.26 13.37 9.34 10.19 32.9 1655503798.5169718
-0.1 -0.13 -2.04 -2.27 12.94 10.5 9.28 32.71 1655503798.5204139
-0.1 -0.13 -2.04 -2.27 14.53 9.09 8.36 31.98 1655503798.5235581
-0.1 -0.13 -2.04 -2.27 12.02 10.25 8.3 30.58 1655503798.5270493
-0.1 -0.13 -2.03 -2.26 11.47 10.68 8.12 30.27 1655503798.5301964
-0.1 -0.13 -2.04 -2.27 13.85 10.62 9.52 34.0 1655503798.5337217
-0.1 -0.13 -2.04 -2.27 13.73 9.28 8.42 31.43 1655503798.536851
